Date,Time,Position Name,Position Type,Company Name,Status,Location,Action Period,CV_CL_RL_CR
19.08.2025,22:55,Low-Code Developer,Developer,Company 40,Not selected,Berlin,8.0,1101.0
19.08.2025,23:10,Data Scientist,Data Science,Company 142,Waiting,Berlin,,1100.0
19.08.2025,23:35,Content Performance Analyst,Data Analysis,Company 195,Waiting,Berlin,,1110.0
20.08.2025,23:10,Data Analyst Marketing Intelligence and Tech,Data Analysis,Company 111,Not selected,Hamburg,7.0,1100.0
21.08.2025,22:50,Analytics Engineer / Data Generalist,Data Engineer,Company 106,Not selected,Munich,14.0,1000.0
21.08.2025,23:00,Automation Engineer – AI Insights,Data Engineer,Company 29,Not selected,Hamburg,1.0,1100.0
21.08.2025,23:15,AI Implementation Specialist,Data Science,Company 196,Not selected,Berlin,25.0,1111.0
22.08.2025,19:40,AI Solution Engineer,Data Engineer,Company 197,Waiting,Munich,,1111.0
22.08.2025,19:45,Software Engineer - Data Infrastructure,Developer,Company 27,Waiting,Berlin,,1000.0
22.08.2025,20:20,AI Associate,Data Science,Company 198,Waiting,Berlin,,1000.0
23.08.2025,8:45,Data Analysis,Data Analysis,Company 177,Waiting,Berlin,,1100.0
23.08.2025,23:20,Speculative application - R&D,Developer,Company 199,Waiting,Berlin,,1011.0
24.08.2025,7:50,Cloud & Machine Learning Consultant,Machine Learning,Company 200,Not selected,Berlin,22.0,1000.0
25.08.2025,12:15,Intelligent Document Processing Engineer,Data Engineer,Company 201,Waiting,Berlin,,1111.0
25.08.2025,12:30,Principle Data Scientist,Data Science,Company 202,Not selected,Berlin,1.0,1000.0
25.08.2025,13:00,Junior Analytics Engineer,Data Engineer,Company 203,Not selected,Berlin,4.0,1110.0
27.08.2025,9:00,Product Analyst,Data Analysis,Company 204,Waiting,Dubai,,1000.0
27.08.2025,9:30,Analyst Pricing & Strategy,Data Analysis,Company 205,Not selected,Berlin,14.0,1111.0
27.08.2025,9:50,Data Labeler - Arabic Speaker,Data Science,Company 4,Not selected,Berlin,2.0,1000.0
28.08.2025,0:35,"Data Scientist, AI Systems",Data Science,Company 206,Not selected,Berlin,40.0,1011.0
28.08.2025,1:10,ML Engineer,Machine Learning,Company 207,Waiting,Dresden,,1111.0
28.08.2025,13:25,Data Analyst,Data Analysis,Company 208,Waiting,Berlin,,1111.0
28.08.2025,14:20,Strategy Analyst,Data Analysis,Company 204,Waiting,Dubai,,1000.0
28.08.2025,14:35,Junior Data Scientist Internship,Data Science,Company 209,Interview,Berlin,11.0,1111.0
29.08.2025,0:51,Python Developer,Developer,Company 210,Waiting,Berlin,,1000.0
29.08.2025,10:10,Data Engineer - AI,Data Engineer,Company 211,Not selected,Berlin,3.0,1111.0
29.08.2025,10:35,Data Scientist (m/w/d) – Analytics & Dashboards,Data Science,Company 212,Not selected,Berlin,26.0,1010.0
30.08.2025,0:50,Junior BI & Data Science Analyst,Data Science,Company 35,Not selected,Berlin,4.0,1011.0
30.08.2025,10:50,Model Risk Associate,Data Science,Company 21,Not selected,Berlin,20.0,1100.0
30.08.2025,11:50, Software Engineer - New Grad,Data Science,Company 213,Not selected,Berlin,4.0,1000.0
31.08.2025,10:10,Data Analyst - Python Developer,Data Analysis,Company 214,Waiting,Hamburg,,1000.0
31.08.2025,21:20,Quantitive Analyst,Data Analysis,Company 215,Not selected,Berlin,3.0,1110.0
01.09.2025,18:00,Junior Data Engineer,Data Engineer,Company 216,Interview,Berlin,9.0,1000.0
01.09.2025,20:50,Decision Science (Data Analyst),Data Analysis,Company 59,Not selected,Berlin,2.0,1000.0
02.09.2025,20:30,AI Platform Engineer,Data Engineer,Company 175,Not selected,Berlin,9.0,1110.0
02.09.2025,22:00,Entimo AG,Data Science,Company 217,Waiting,Berlin,,1000.0
17.09.2025,14:30,Data Engineer,Data Engineer,Company 218,Waiting,Berlin,,1000.0
